Case Number,Case Type,Address,Description,Case Group,Date Case Created,Last Inspection Date,Last Inspection Result,Status,Permit and Complaint Status URL,Latitude,Longitude,Location
1029600,HOUSING / ZONING,3212 E SPRUCE ST,5/13/13 ej- Observed disfunctional permanent heat source.,HOUSING,05/13/2013,05/13/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029600,47.60338,-122.290963,"(47.60338, -122.290963)"
1029599,CONSTRUCTION,2222 YALE AVE E,No 1st Ground Disturbance Inspection for Permit 6335343. Temporary Erosion & Sedimentation Control (TESC) and Construction Stormwater Control (CSC) not per Permit 6335343.,SITE,05/13/2013,05/10/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029599,47.63889,-122.326624,"(47.63889, -122.326624)"
1029598,CONSTRUCTION,2220 YALE AVE E,No 1st Ground Disturbance Inspection for Permit 6335342. Temporary Erosion & Sedimentation Control (TESC) and Construction Stormwater Control (CSC) not per Permit 6335342.,SITE,05/13/2013,05/10/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029598,47.638886,-122.32677,"(47.638886, -122.32677)"
1029597,CONSTRUCTION,2218 YALE AVE E,No 1st Ground Disturbance Inspection for Permit 6325658. Temporary Erosion & Sedimentation Control (TESC) and Construction Stormwater Control (CSC) not per Permit 6325658.,SITE,05/13/2013,05/10/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029597,47.638889,-122.326915,"(47.638889, -122.326915)"
1029596,CITATION,2651 NW 86TH ST,05/10/13 dw home occupation violation,ZONING,05/13/2013,05/10/2013,FAILED,VIOLATION,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029596,47.691127,-122.392388,"(47.691127, -122.392388)"
1029595,HOUSING / ZONING,2904 E DENNY WAY,"5/13/13 ej-Observed no water service, due to non payment.",HOUSING,05/13/2013,05/13/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029595,47.619081,-122.294463,"(47.619081, -122.294463)"
1029594,CITATION,7933 17TH AVE SW,outdoor junk storage/ rooster complaint,ZONING,05/13/2013,05/10/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029594,47.53089698,-122.35665999,"(47.53089698, -122.35665999)"
1029593,CITATION,2912 21ST AVE S,Parking in the required front yard.,ZONING,05/13/2013,05/10/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029593,47.577072,-122.30513,"(47.577072, -122.30513)"
1029592,CONSTRUCTION,8336 MARY AVE NW,Demo without permits; stop work posted.,BUILDING,05/13/2013,05/10/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029592,47.689757,-122.374961,"(47.689757, -122.374961)"
1029591,CITATION,7224 S TAFT ST,The new driveway fence gate/door is over height.,ZONING,05/10/2013,05/09/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029591,47.510702,-122.242624,"(47.510702, -122.242624)"
1029590,HOUSING / ZONING,7429 RAINIER AVE S,hbmc violations in #208 and #202,HOUSING,05/10/2013,,,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029590,47.534952,-122.270336,"(47.534952, -122.270336)"
1029589,CITATION,843 S CLOVERDALE ST,"Outdoor junk storage including but not limited to buckets, baskets, flower pots and more misc. items stored in all required yards.",ZONING,05/10/2013,05/07/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029589,47.526268,-122.32098,"(47.526268, -122.32098)"
1029588,CITATION,6600 CORSON AVE S,Weeds and vegetation. Low hanging tree branches blocking the sidewalk where pedestrians are unable to walk.,WEEDS AND VEGETATION,05/10/2013,04/09/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029588,47.544303,-122.322222,"(47.544303, -122.322222)"
1029587,HOUSING / ZONING,513 31ST AVE,5/9/13 ej-Observed second unit in the single family house not permitted.,HOUSING,05/10/2013,05/09/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029587,47.60659,-122.292921,"(47.60659, -122.292921)"
1029586,HOUSING / ZONING,2727 NE 125TH ST,5.10.13: HBMC Violations observed. -GH,HOUSING,05/10/2013,05/10/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029586,47.719016,-122.298643,"(47.719016, -122.298643)"
1029585,CONSTRUCTION,13717 42ND PL NE,"Constructing retaining wall in an ECA (steep slope, potential slide & known slide) area without permit.",BUILDING,05/10/2013,05/08/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029585,47.728219,-122.282429,"(47.728219, -122.282429)"
1029584,CITATION,9210 22ND AVE SW,ZONING-,,05/10/2013,,,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029584,47.520673,-122.361378,"(47.520673, -122.361378)"
1029583,CONSTRUCTION,13717 42ND PL NE,"Removing vegetation and cutting trees on ECA (steep slope, potential slide, known slide) lot.",SITE,05/09/2013,05/08/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029583,47.728219,-122.282429,"(47.728219, -122.282429)"
1029582,CONSTRUCTION,1630 43RD AVE E,Installing a Type I hood requires a permit and inspections from DPD. STOP WORK ORDER posted 5/7/13.,MECHANICAL,05/09/2013,05/07/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029582,47.634294,-122.27653,"(47.634294, -122.27653)"
1029581,CONSTRUCTION,4028 47TH AVE SW,Constructing a detached garage requires a permit and inspections from DPD.,BUILDING,05/09/2013,05/08/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029581,47.567573,-122.391817,"(47.567573, -122.391817)"
1029580,CONSTRUCTION,13713 42ND PL NE,"Constructing retaining wall in an ECA (steep slope, potential slide & known slide) area without permit.",BUILDING,05/09/2013,05/07/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029580,47.728143,-122.282715,"(47.728143, -122.282715)"
1029579,TENANT RELOCATION ORDINANCE,722 3RD AVE N,Application for a Tenant Relocation License. Total units: 7; total units occupied: 5. Demolition.,,05/09/2013,,,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029579,47.626127,-122.351024,"(47.626127, -122.351024)"
1029578,TENANT RELOCATION ORDINANCE,611 N 49TH ST,Application for a Tenant Relocation License. Total units: 2l; total units occupied: 2. Demolition.,,05/09/2013,,,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029578,47.664134,-122.35086,"(47.664134, -122.35086)"
1029577,HOUSING / ZONING,7530 M L KING JR WAY S,"Outdoor junk storage, trash, litter and garbage.",ZONING,05/09/2013,05/09/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1029577,47.534405,-122.280211,"(47.534405, -122.280211)"
